Anxiety Level,Parameter,Pre-Mean,Post-Mean,Percent Change,t-statistic,p-value,Significant
Low,CZ Aperiodic Exponent,1.5837872627534246,1.479226394546667,-6.601951579341396,1.2715120496887111,0.20556837465989014,False
Low,FZ Aperiodic Exponent,1.2702077568356165,0.7036806359600001,-44.6011385009148,4.723645091761792,5.38948464044768e-06,True
Low,CZ Beta Power,8.812328767123286e-14,7.435806666666667e-12,8337.958754339606,-0.9867844692356736,0.32538082062933504,False
Low,FZ Beta Power,1.4114109589041097e-12,3.646336e-12,158.3468675084681,-2.5401719240624265,0.012125345219174554,True
Low,Frontal Asymmetry,0.9268916870684932,0.8576796212400001,-7.467114744268785,0.8472834309991292,0.3982239343029169,False
Low,Avg Aperiodic Exponent,1.4036718525753427,1.3055027279866667,-6.993737489895753,1.681477428146169,0.09480809182229968,False
Low,Avg Beta Power,3.255753424657535e-13,3.098458666666667e-12,851.6871404328128,-1.0124745358436524,0.31298619345788453,False
High,CZ Aperiodic Exponent,2.0725209768823527,1.5679117635396824,-24.34760463084638,5.602097603015803,1.2233812110291242e-07,True
High,FZ Aperiodic Exponent,2.2869942027205887,1.690979655698413,-26.06104319430115,6.5310940112970615,1.3686670476588897e-09,True
High,CZ Beta Power,5.310588235294118e-14,5.283333333333334e-14,-0.5132181361689531,0.10476511680857258,0.9167249086639018,False
High,FZ Beta Power,3.462205882352941e-14,3.301904761904762e-14,-4.630028539470815,1.030554917460883,0.3046779092643931,False
High,Frontal Asymmetry,0.038800759382352945,0.034982276873015875,-9.841257156100307,0.07574513933196184,0.9397392061124352,False
High,Avg Aperiodic Exponent,2.1541315006323525,1.5474239573809527,-28.164833162381157,9.202352287333488,8.029933707589623e-16,True
High,Avg Beta Power,7.781323529411765e-14,9.156984126984126e-14,17.679005279405917,-3.649225292065011,0.0003806659019621449,True
