Parameter,Comparison,Mean_1,Mean_2,Difference,Percent_Change,T_statistic,P_value,Cohens_d,Significant
stay_percent,prestress_short vs prestress_long,84.78555150811248,90.92751749001748,6.1419659819050025,7.244118688450501,-1.3702721132867488,0.2005766833187346,0.7911269734691418,False
stay_percent,poststress_short vs poststress_long,84.60279195815214,86.76039153559681,2.157599577444671,2.5502699467789482,-0.35049634002916275,0.733237042865528,0.20235915626581572,False
stay_percent,prestress_short vs poststress_short,84.78555150811248,84.60279195815214,-0.1827595499603376,-0.21555506417016201,0.03740467336152078,0.9708985204983094,-0.021595598234224044,False
stay_percent,prestress_long vs poststress_long,90.92751749001748,86.76039153559681,-4.167125954420669,-4.582909628956008,0.7134791316477145,0.49186454506597943,-0.41192736871798835,False
aperiodic_exponent_avg,prestress_short vs prestress_long,1.7318290409009502,1.710191346576867,-0.021637694324083245,-1.2494128353931897,0.11470424097513936,0.9109500032430038,-0.0662245244041884,False
aperiodic_exponent_avg,poststress_short vs poststress_long,1.595864822690707,1.621396411394609,0.02553158870390204,1.5998591071676436,-0.21579101389294497,0.8334885505890568,0.12458699995979405,False
aperiodic_exponent_avg,prestress_short vs poststress_short,1.7318290409009502,1.595864822690707,-0.13596421821024318,-7.850903004808746,0.8702582886746366,0.4045653841025977,-0.5024438572308046,False
aperiodic_exponent_avg,prestress_long vs poststress_long,1.710191346576867,1.621396411394609,-0.0887949351822579,-5.192105278745011,0.5596415010385547,0.5880390822752475,-0.3231091712742958,False
beta_power_avg,prestress_short vs prestress_long,1.8374381330728894e-13,1.4837584552272052e-13,-3.5367967784568415e-14,-19.248521704194655,0.628262779092363,0.5439129631204875,-0.3627276846307982,False
beta_power_avg,poststress_short vs poststress_long,1.7822488764798676e-13,1.128030980892621e-12,9.498060932446342e-13,532.92562322755,-0.935900057439077,0.37137506018949606,0.5403421500970372,False
beta_power_avg,prestress_short vs poststress_short,1.8374381330728894e-13,1.7822488764798676e-13,-5.518925659302173e-15,-3.00359808581552,0.06328577273043616,0.9507860849197884,-0.0365380579217908,False
beta_power_avg,prestress_long vs poststress_long,1.4837584552272052e-13,1.128030980892621e-12,9.796551353699004e-13,660.2524365867135,-0.9673975766846977,0.35615914774341617,0.5585272513123019,False
CZ_aperiodic_exponent,prestress_short vs prestress_long,1.8471586540819054,1.834658863126579,-0.012499790955326384,-0.6767036999070967,0.08743192222659331,0.9320542270155839,-0.050478843833290064,False
CZ_aperiodic_exponent,poststress_short vs poststress_long,1.667126409692403,1.7095427012349376,0.04241629154253457,2.5442756647566207,-0.4509149068430053,0.6616705985870929,0.26033584284742406,False
CZ_aperiodic_exponent,prestress_short vs poststress_short,1.8471586540819054,1.667126409692403,-0.18003224438950238,-9.746441865817095,1.4276271759942576,0.18387347807951954,-0.8242409343627095,False
CZ_aperiodic_exponent,prestress_long vs poststress_long,1.834658863126579,1.7095427012349376,-0.12511616189164143,-6.819587248957097,1.081436295071367,0.30489208684715663,-0.6243675360708852,False
FZ_aperiodic_exponent,prestress_short vs prestress_long,1.6904401389707366,1.6862966330953657,-0.004143505875370934,-0.2451140256225697,0.014122934911848059,0.9890096971225244,-0.008153880273103042,False
FZ_aperiodic_exponent,poststress_short vs poststress_long,1.4100844587331445,1.6126610230559748,0.20257656432283033,14.366271684522374,-0.7371459873323597,0.47797234097459596,0.42559143421839035,False
FZ_aperiodic_exponent,prestress_short vs poststress_short,1.6904401389707366,1.4100844587331445,-0.28035568023759216,-16.584774212016352,0.9361190014428273,0.37126770376369345,-0.5404685574765401,False
FZ_aperiodic_exponent,prestress_long vs poststress_long,1.6862966330953657,1.6126610230559748,-0.0736356100393909,-4.366705631394483,0.2746033776333491,0.7892105174791719,-0.15854233399699455,False
